Newcastle City Council Invoices over �250 paid in January 2014,,,,,,,,,,,,
,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,17/01/2014,LS CARE LTD,6119883,Revenue,1MH50,Ind Home Spot Pur PD,344.43 ,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,17/01/2014,LS CARE LTD,6119884,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,17/01/2014,LS CARE LTD,6119885,Revenue,3WH96,Continuing Care-Dom Payments,"2,938.25 ",,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,03/01/2014,LUBRON UK LTD,6107265,Revenue,1KKX1,Civic Centre Direct Costs,575.11 ,,,
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/01/2014,M & M THEATRICAL PRODUCTIONS,6122619,Revenue,1E+75,Our Lady & St. Annes R.C. Prmy,795.00 ,,,
Chief Executive's,CD - Support Services            ,Supplies & Services,28/01/2014,M & N RUTTER,6128672,Revenue,1FG03,Central Post Room,263.85 ,,,
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,16/01/2014,M A S T A,6118797,Revenue,1FP30,Occupational Health,399.00 ,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/01/2014,M&C ROOFING CONTRACTORS,6122870,Revenue,1KVWC,Minor Works Contracts,"10,221.76 ",,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,31/01/2014,M&C ROOFING CONTRACTORS,6134279,Revenue,1KVWC,Minor Works Contracts,325.45 ,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,06/01/2014,M&C ROOFING CONTRACTORS,6108084,Revenue,1KBRM,Sub Contractors R & M,"2,069.93 ",,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,23/01/2014,M&M VALUE LTD,6125022,Revenue,1E371,Benfield Sports Partner Contrb,"1,507.19 ",,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,09/01/2014,M&M VALUE LTD,6109993,Revenue,1E371,Benfield Sports Partner Contrb,246.58 ,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,09/01/2014,M&M VALUE LTD,6109993,Revenue,1E371,Benfield Sports Partner Contrb,45.20 ,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,09/01/2014,M&M VALUE LTD,6110002,Revenue,1E371,Benfield Sports Partner Contrb,405.40 ,,,
Chief Executive's,Revenues/Council Tax                   ,Supplies & Services,10/01/2014,MAGISTRATES COURT,6113260,Revenue,1CR01,Revenues & Benefits Managemnt,"15,000.00 ",,,
Environment & Regeneration,E&R Parking Services       ,Premises,23/01/2014,MAIGRET CHEMICALS,6124970,Revenue,1V204,Car Parking Infrastructure,"2,755.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,28/01/2014,MANOR HOUSE,6129250,Revenue,4WX13,Ind Sector Client Loan Fund,"-1,984.00 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MANOR HOUSE,6129250,Revenue,1MG20,Ind Res Care Elderly,"-4,196.22 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MANOR HOUSE,6129250,Revenue,1MG20,Ind Res Care Elderly,-653.64 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MANOR HOUSE,6129251,Revenue,1MG20,Ind Res Care Elderly,-339.38 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MANOR HOUSE,6129250,Revenue,1MG20,Ind Res Care Elderly,"2,616.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MANOR HOUSE,6129250,Revenue,3WH77,Free Nursing Care Com Care,"2,572.22 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MANOR HOUSE,6129251,Revenue,3WH77,Free Nursing Care Com Care,109.79 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MANOR HOUSE,6129250,Revenue,1MG20,Ind Res Care Elderly,"5,460.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MANOR HOUSE,6129251,Revenue,1MG20,Ind Res Care Elderly,872.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MANOR HOUSE,6129302,Revenue,3WH71,Free Nursing Care Self Funder,329.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MANOR PARK CARE HOME,6116052,Revenue,1MK20,Ind Res Care LD,"1,631.04 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MANOR PARK CARE HOME,6116052,Revenue,1MM20,Ind Res Care MH,"1,631.04 ",,,
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,30/01/2014,MARIE CURIE CANCER CARE,6132932,Revenue,3RNF2,Kenton Acad Payroll Deds,0.43 ,,,
Chief Executive's,"CD - Audit, Insurance & Risk NOR       ",Supplies & Services,08/01/2014,MARSH LTD,6109726,Revenue,3RM18,Insurance Control Susp-Financ,"13,000.00 ",,,
HRA,HRA Finance                            ,"Sales, Fees & Charges",13/01/2014,MARSH UK LTD,6114510,Revenue,1HRA1,HRA-General,"-5,181.42 ",,,
HRA,HRA Finance                            ,Supplies & Services,13/01/2014,MARSH UK LTD,6114510,Revenue,1HRA1,HRA-General,"33,949.38 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,13/01/2014,MARSHALLS GROUP PLC,6113192,Revenue,3KIMF,Highways Stock Account,"1,290.24 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,13/01/2014,MARSHALLS GROUP PLC,6113956,Revenue,3KIMF,Highways Stock Account,"1,439.52 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,28/01/2014,MARSHALLS GROUP PLC,6128531,Revenue,3KIMF,Highways Stock Account,"1,338.08 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,13/01/2014,MARSHALLS MONO LTD,6113951,Revenue,3KIMF,Highways Stock Account,"5,250.00 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,28/01/2014,MARSHALLS MONO LTD,6128536,Revenue,3KIMF,Highways Stock Account,"5,250.00 ",,,
Environment & Regeneration,NS: Admin & Finance        ,Capital Expenditure,08/01/2014,MARSHALLS MONO LTD,6073487,Capital,2KL01,Leisure Services,"2,973.64 ",,,
Chief Executive's,CD - Corporate Services NOR            ,Supplies & Services,20/01/2014,MARSTON GROUP LTD,6121182,Revenue,1CR61,Bailiff Fees - NNDR,24.50 ,,,
Environment & Regeneration,NS: Admin & Finance        ,Capital Expenditure,13/01/2014,MAWSON KERR ARCHITECTS LTD,6108129,Capital,2DP02,Devt Capital CC,"4,580.00 ",,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/01/2014,MAXAM DIRECT,6128697,Revenue,3KIMD,Other Stores Stock Account,600.00 ,,,
Children's Services,Childrens Services Support       ,Transfer Payments,30/01/2014,MAYNARDS TRAVEL,6124100,Revenue,1E+212,Transport Special,"2,800.00 ",,,
Children's Services,Childrens Services Support       ,Transfer Payments,30/01/2014,MAYNARDS TRAVEL,6124100,Revenue,1E+212,Transport Special,945.00 ,,,
Children's Services,Raising Stnds              ,Supplies & Services,07/01/2014,MC DROP DEAD FRED,6109215,Revenue,1E558,SB Music Service,315.00 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MCARTHUR GROUP LTD,6118393,Revenue,1KEKC,Env Imp Iem Hard Landscape,"1,408.66 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MCGOWAN COURT,6129196,Revenue,1MG10,Ind Nursing Care Elderly,-729.00 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MCGOWAN COURT,6129196,Revenue,1MM10,Ind Nursing Care MH,-421.40 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MCGOWAN COURT,6129197,Revenue,1MG10,Ind Nursing Care Elderly,-243.00 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,MCGOWAN COURT,6129197,Revenue,1MM10,Ind Nursing Care MH,-243.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129196,Revenue,1MG10,Ind Nursing Care Elderly,"4,788.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129196,Revenue,1MM10,Ind Nursing Care MH,"7,182.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129196,Revenue,3WH77,Free Nursing Care Com Care,"2,305.59 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129196,Revenue,3WH79,Free Nursing Care Pres Rights,"1,112.04 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129196,Revenue,3WH93,Continuing Care,329.37 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129197,Revenue,1MG10,Ind Nursing Care Elderly,"1,596.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129197,Revenue,1MM10,Ind Nursing Care MH,"2,394.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129197,Revenue,3WH77,Free Nursing Care Com Care,768.53 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129197,Revenue,3WH79,Free Nursing Care Pres Rights,370.68 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MCGOWAN COURT,6129197,Revenue,3WH93,Continuing Care,109.79 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,14/01/2014,ME BARRETT,6115874,Revenue,1MK60,Ind Day Care LD,480.20 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,14/01/2014,ME BARRETT,6115875,Revenue,1MK60,Ind Day Care LD,480.20 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,08/01/2014,ME BARRETT,6109709,Revenue,1MK50,Ind Supported Living LD,480.20 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,08/01/2014,ME BARRETT,6109710,Revenue,1MK60,Ind Day Care LD,480.20 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,15/01/2014,ME BARRETT,6109708,Revenue,1MK60,Ind Day Care LD,480.20 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,MEADOW PARK,6116000,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MEADOW PARK,6116000,Revenue,1MG20,Ind Res Care Elderly,"1,844.36 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,MEARS HI LTD,6125097,Revenue,1MX50,SP Block Gross,"7,707.84 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,MEARS HI LTD,6125097,Revenue,1MX50,SP Block Gross,"9,692.20 ",,,
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,13/01/2014,MEARS LTD,6108720,Capital,2N101,Capital Grants,"4,642.09 ",,,
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,08/01/2014,MEARS LTD,6110155,Capital,2N101,Capital Grants,"2,679.49 ",,,
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,08/01/2014,MEARS LTD,6110156,Capital,2N101,Capital Grants,"4,110.58 ",,,
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,09/01/2014,MEARS LTD,6111685,Capital,2N101,Capital Grants,"3,650.04 ",,,
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,09/01/2014,MEARS LTD,6111692,Capital,2N101,Capital Grants,"3,935.63 ",,,
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,07/01/2014,MEARS LTD,6108102,Capital,2N101,Capital Grants,"9,791.21 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MENCAP,6122318,Revenue,1MK54,Dom Care Own Tenancy LD,"1,328.40 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,MENDIP HOUSE CARE HOME,6116031,Revenue,1MG20,Ind Res Care Elderly,-499.28 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MENDIP HOUSE CARE HOME,6116031,Revenue,1MG20,Ind Res Care Elderly,"1,729.52 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,MENTAL HEALTH CONCERN,6125098,Revenue,1MX51,SP Block Subsidy,"3,501.76 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,MENTAL HEALTH CONCERN,6125098,Revenue,1MX51,SP Block Subsidy,"4,377.20 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,MENTAL HEALTH CONCERN,6125098,Revenue,1MX50,SP Block Gross,"3,523.52 ",,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,23/01/2014,MENTAL HEALTH MATTERS,6125086,Revenue,1MX51,SP Block Subsidy,"8,964.64 ",,,
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,24/01/2014,MERIDIAN COST BENEFIT LTD,6126860,Revenue,1MC21,Fostering Unit,434.28 ,,,
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,24/01/2014,MERIDIAN COST BENEFIT LTD,6126860,Revenue,1KBAA,Building Contracts,374.40 ,,,
Chief Executive's,CD - Corporate Procurement       ,Supplies & Services,23/01/2014,MERIDIAN COST BENEFIT LTD,6120047,Revenue,1FR03,Procurement & Efficiency,808.68 ,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,30/01/2014,MERIT HOME CARE SERVICES,6115879,Revenue,1MH50,Ind Home Spot Pur PD,"1,824.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MG50,Ind Home Spot Pur Elderly,"3,520.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MG51,Ind Home Per Care Elderly,321.84 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MH50,Ind Home Spot Pur PD,187.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MH51,Ind Home Per Care PD,66.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122324,Revenue,1MK55,Dom Care Family/Carer LD,"1,792.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MG50,Ind Home Spot Pur Elderly,"5,332.13 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MG51,Ind Home Per Care Elderly,"1,820.50 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MH50,Ind Home Spot Pur PD,"1,661.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,MERIT HOME CARE SERVICES,6122367,Revenue,1MH51,Ind Home Per Care PD,"1,122.00 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/01/2014,METALPOINT LTD,6110159,Revenue,3KIMD,Other Stores Stock Account,709.20 ,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,06/01/2014,METALPOINT LTD,6104574,Revenue,3KIMD,Other Stores Stock Account,455.00 ,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/01/2014,METALPOINT LTD,6114424,Revenue,3KIMD,Other Stores Stock Account,537.00 ,,,
Environment & Regeneration,NS: Energy                 ,Supplies & Services,29/01/2014,METER MANAGER LTD,6131891,Revenue,1KEYW,Solar Panels Public Buildings,489.60 ,,,
Environment & Regeneration,Highways                               ,Premises,15/01/2014,MGL DEMOLITION LTD,6117679,Revenue,1KEMC,Highways,473.18 ,,,
Environment & Regeneration,Highways                               ,Supplies & Services,07/01/2014,MGL DEMOLITION LTD,6108098,Revenue,1KEMC,Highways,"1,202.42 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,07/01/2014,MGL DEMOLITION LTD,6108103,Revenue,1KEMC,Highways,"1,189.44 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,10/01/2014,MGL DEMOLITION LTD,6111033,Revenue,1KEMC,Highways,614.78 ,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,17/01/2014,MGM LTD,6119578,Revenue,1KVWC,Minor Works Contracts,"8,922.00 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/01/2014,MH SOUTHERN & CO LTD,6110256,Revenue,3KIMD,Other Stores Stock Account,502.74 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MH SOUTHERN & CO LTD,6124731,Revenue,3KIMD,Other Stores Stock Account,989.08 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MH SOUTHERN & CO LTD,6124746,Revenue,3KIMD,Other Stores Stock Account,556.78 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MH SOUTHERN & CO LTD,6124762,Revenue,3KIMD,Other Stores Stock Account,274.38 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MH SOUTHERN & CO LTD,6124820,Revenue,3KIMD,Other Stores Stock Account,"1,118.88 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MH SOUTHERN & CO LTD,6124840,Revenue,3KIMD,Other Stores Stock Account,410.04 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/01/2014,MH SOUTHERN & CO LTD,6124847,Revenue,3KIMD,Other Stores Stock Account,"4,316.32 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/01/2014,MH SOUTHERN & CO LTD,6124729,Revenue,3KIMD,Other Stores Stock Account,816.00 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/01/2014,MH SOUTHERN & CO LTD,6124745,Revenue,1KM1E,Voids 2.5 East,347.60 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/01/2014,MH SOUTHERN & CO LTD,6124760,Revenue,3KIMD,Other Stores Stock Account,336.34 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/01/2014,MH SOUTHERN & CO LTD,6118917,Revenue,3KIMD,Other Stores Stock Account,112.90 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/01/2014,MH SOUTHERN & CO LTD,6118917,Revenue,3KIMD,Other Stores Stock Account,149.85 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/01/2014,MH SOUTHERN & CO LTD,6119728,Revenue,3KIMD,Other Stores Stock Account,285.14 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/01/2014,MH SOUTHERN & CO LTD,6119729,Revenue,3KIMD,Other Stores Stock Account,556.78 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,28/01/2014,MH SOUTHERN & CO LTD,6129903,Revenue,3KIMD,Other Stores Stock Account,674.02 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,28/01/2014,MH SOUTHERN & CO LTD,6129904,Revenue,3KIMD,Other Stores Stock Account,"1,239.48 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,27/01/2014,MH SOUTHERN & CO LTD,6124819,Revenue,3KIMD,Other Stores Stock Account,469.00 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/01/2014,MH SOUTHERN & CO LTD,6110257,Revenue,3KIMD,Other Stores Stock Account,"1,027.82 ",,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/01/2014,MH SOUTHERN & CO LTD,6110258,Revenue,3KIMD,Other Stores Stock Account,362.88 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/01/2014,MH SOUTHERN & CO LTD,6110350,Revenue,3KIMD,Other Stores Stock Account,912.42 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,17/01/2014,MH SOUTHERN & CO LTD,6118913,Revenue,3KIMD,Other Stores Stock Account,"1,284.82 ",,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/01/2014,MHA,6120092,Revenue,1MK54,Dom Care Own Tenancy LD,638.40 ,,,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,07/01/2014,MHG SUPPLIES LTD,6108583,Revenue,1KL1C,Outer West Pool,112.50 ,,,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,07/01/2014,MHG SUPPLIES LTD,6108583,Revenue,1KL1G,Gosforth Pool,122.50 ,,,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,07/01/2014,MHG SUPPLIES LTD,6108583,Revenue,1KL2F,Scotswood Sport Centre,37.50 ,,,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,07/01/2014,MHG SUPPLIES LTD,6108583,Revenue,1KL7A,Newburn Activity Centre,112.50 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,09/01/2014,MID CHESHIRE HOSPITALS,6110980,Revenue,1ML02,PH-Sexual Hlth-STI Test/Treat,283.00 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,16/01/2014,MID YORKSHIRE HOSPITALS,6113164,Revenue,1ML02,PH-Sexual Hlth-STI Test/Treat,498.15 ,,,
Adult and Culture,Social Services                        ,Third Party Payments,07/01/2014,MID YORKSHIRE HOSPITALS,6109182,Revenue,1ML06,"""PH-Sexual Health- Advice, etc",388.48 ,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10/01/2014,MIDDLESBOROUGH COUNCIL,6112875,Revenue,1MM20,Ind Res Care MH,996.00 ,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,24/01/2014,MIKO COFFEE NORTH WEST,6126785,Revenue,1E371,Benfield Sports Partner Contrb,649.56 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,MILLDENE,6115951,Revenue,1MG10,Ind Nursing Care Elderly,-972.00 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,MILLDENE,6115951,Revenue,1MM10,Ind Nursing Care MH,-838.60 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MILLDENE,6115951,Revenue,1MG10,Ind Nursing Care Elderly,"7,900.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MILLDENE,6115951,Revenue,1MM10,Ind Nursing Care MH,"5,984.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MILLDENE,6115951,Revenue,3WH77,Free Nursing Care Com Care,"3,239.36 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MILLDENE,6115951,Revenue,3WH78,Fre Nursing Care Out of Area,439.16 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MILLDENE,6116086,Revenue,3WH78,Fre Nursing Care Out of Area,878.32 ,,,
Children's Services,Educ Fossway S/Start       ,Supplies & Services,10/01/2014,MILLERS DENE DAY CARE,6112826,Revenue,1E711,Walkergate CC-PREV SF EEC,434.34 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,16/01/2014,MILLFIELD GRP LTD,6117644,Revenue,1KR1C,Response Central,353.20 ,,,
Children's Services,West Riverside S/Start           ,Third Party Payments,23/01/2014,MILLIN CENTRE,6125849,Revenue,1EEG1,W River CC Central Costs,"6,404.93 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MILTON LODGE,6129186,Revenue,1MK20,Ind Res Care LD,"2,756.85 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,MILTON LODGE,6129187,Revenue,1MK20,Ind Res Care LD,918.95 ,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,07/01/2014,MINSTER INSULATION,6108824,Revenue,1KM1W,Voids 2.5 West,535.80 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,MINSTER PATHWAYS LTD,6115990,Revenue,1MH20,Ind Res Care PD,-659.56 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,MINSTER PATHWAYS LTD,6115990,Revenue,1MH20,Ind Res Care PD,"4,660.00 ",,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,13/01/2014,MISCELLANEOUS PAYMENTS BACS,6114630,Revenue,3RM18,Insurance Control Susp-Financ,279.22 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,13/01/2014,MISCELLANEOUS PAYMENTS BACS,6114632,Revenue,3RM18,Insurance Control Susp-Financ,"1,876.52 ",,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,13/01/2014,MISCELLANEOUS PAYMENTS BACS,6114633,Revenue,3RM18,Insurance Control Susp-Financ,316.70 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,30/01/2014,MISCELLANEOUS PAYMENTS BACS,6133049,Revenue,3RM18,Insurance Control Susp-Financ,382.53 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,23/01/2014,MISCELLANEOUS PAYMENTS BACS,6125845,Revenue,3RM18,Insurance Control Susp-Financ,564.43 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,10/01/2014,MISCELLANEOUS PAYMENTS BACS,6113180,Revenue,3RM18,Insurance Control Susp-Financ,"1,500.00 ",,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,10/01/2014,MISCELLANEOUS PAYMENTS BACS,6113181,Revenue,3RM18,Insurance Control Susp-Financ,788.99 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,20/01/2014,MISCELLANEOUS PAYMENTS BACS,6121160,Revenue,3RM18,Insurance Control Susp-Financ,944.95 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,20/01/2014,MISCELLANEOUS PAYMENTS BACS,6121161,Revenue,3RM18,Insurance Control Susp-Financ,410.00 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,17/01/2014,MISCELLANEOUS PAYMENTS BACS,6120372,Revenue,3RM18,Insurance Control Susp-Financ,500.00 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,17/01/2014,MISCELLANEOUS PAYMENTS BACS,6120373,Revenue,3RM18,Insurance Control Susp-Financ,664.45 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,17/01/2014,MISCELLANEOUS PAYMENTS BACS,6120374,Revenue,3RM18,Insurance Control Susp-Financ,405.25 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,15/01/2014,MISCELLANEOUS PAYMENTS BACS,6117941,Revenue,3RM18,Insurance Control Susp-Financ,642.16 ,,,
Adult and Culture,Miscellaneous Payments,Supplies & Services,27/01/2014,MISCELLANEOUS PAYMENTS BACS,6128579,Revenue,3RM18,Insurance Control Susp-Financ,"1,766.02 ",,,
