Newcastle City Council Invoices over �250 paid in September 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352010,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352011,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352012,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352013,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352015,Revenue,3KIMF,Highways Stock Account,877.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352016,Revenue,3KIMF,Highways Stock Account,"1,295.00",
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6352286,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357619,Revenue,3KIMF,Highways Stock Account,264.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357655,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357661,Revenue,3KIMF,Highways Stock Account,"1,295.00",
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357662,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357663,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357664,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,12/09/2014,KELLY PLANT HIRE,6357665,Revenue,3KIMF,Highways Stock Account,"1,670.00",
Environment & Regeneration,Highways                               ,Supplies & Services,15/09/2014,KELLY PLANT HIRE,6357666,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351980,Revenue,3KIMF,Highways Stock Account,"1,073.00",
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351981,Revenue,3KIMF,Highways Stock Account,877.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351982,Revenue,3KIMF,Highways Stock Account,441.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351983,Revenue,3KIMF,Highways Stock Account,524.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351984,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351985,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351986,Revenue,3KIMF,Highways Stock Account,"1,406.75",
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351987,Revenue,3KIMF,Highways Stock Account,"1,295.00",
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351988,Revenue,3KIMF,Highways Stock Account,877.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351989,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351990,Revenue,3KIMF,Highways Stock Account,520.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351991,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351994,Revenue,3KIMF,Highways Stock Account,840.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351995,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351998,Revenue,3KIMF,Highways Stock Account,877.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6351999,Revenue,3KIMF,Highways Stock Account,"1,295.00",
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6352002,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6352006,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6357667,Revenue,3KIMF,Highways Stock Account,912.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6357668,Revenue,3KIMF,Highways Stock Account,504.50,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6357669,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6357671,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6357672,Revenue,3KIMF,Highways Stock Account,791.50,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6357673,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,22/09/2014,KELLY PLANT HIRE,6366274,Revenue,3KIMF,Highways Stock Account,777.00,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2014,KELLY PLANT HIRE,6352003,Revenue,3KIMF,Highways Stock Account,560.00,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2014,KELLY PLANT HIRE,6352007,Revenue,3KIMF,Highways Stock Account,"1,041.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6358290,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6358318,Revenue,3KIMF,Highways Stock Account,689.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6358321,Revenue,3KIMF,Highways Stock Account,316.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6358324,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6358325,Revenue,3KIMF,Highways Stock Account,"1,132.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359815,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359816,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359818,Revenue,3KIMF,Highways Stock Account,259.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359822,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359823,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359825,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359827,Revenue,3KIMF,Highways Stock Account,"1,015.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359828,Revenue,3KIMF,Highways Stock Account,689.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359829,Revenue,3KIMF,Highways Stock Account,"1,015.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359830,Revenue,3KIMF,Highways Stock Account,"1,950.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359831,Revenue,3KIMF,Highways Stock Account,"1,015.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359834,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359839,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359842,Revenue,3KIMF,Highways Stock Account,486.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359844,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359847,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359850,Revenue,3KIMF,Highways Stock Account,"1,502.75",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359855,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359857,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359866,Revenue,3KIMF,Highways Stock Account,689.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359878,Revenue,3KIMF,Highways Stock Account,259.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6359880,Revenue,3KIMF,Highways Stock Account,609.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6361678,Revenue,3KIMF,Highways Stock Account,"1,330.00",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6361684,Revenue,3KIMF,Highways Stock Account,296.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6361694,Revenue,3KIMF,Highways Stock Account,494.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,KELLY PLANT HIRE,6361702,Revenue,3KIMF,Highways Stock Account,689.50,
Children's Services,Schools Payment Agency                 ,Premises,26/09/2014,KELWAY LTD,6370870,Revenue,1E+27,Walbottle Primary,"1,532.18",
Children's Services,Schools Payment Agency                 ,Supplies & Services,29/09/2014,KELWAY LTD,6364968,Revenue,1E+58,Tyneview Primary,"1,037.44",
Children's Services,St John's Primary School               ,Supplies & Services,26/09/2014,KELWAY LTD,6371127,Revenue,1E+56,St. John's Primary,"4,576.38",
Children's Services,St John's Primary School               ,Supplies & Services,29/09/2014,KELWAY LTD,6371848,Revenue,1E+56,St. John's Primary,291.27,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MG10,Ind Nursing Care Elderly,"-7,772.42",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MG20,Ind Res Care Elderly,"-2,030.84",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MH10,Ind Nursing Care PD,"1,310.54",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MG10,Ind Nursing Care Elderly,"50,800.92",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MG20,Ind Res Care Elderly,"7,167.20",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MH10,Ind Nursing Care PD,"2,475.70",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KENSINGTON RESIDENTIAL HOME,6355022,Revenue,1MM10,Ind Nursing Care MH,"2,513.68",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,02/09/2014,KENTON BAR TENANTS & RESIDENTS ASSOC,6347358,Revenue,1KN32,Kenton Ward,"1,500.00",
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,23/09/2014,KENTON HALL N H,6367692,Revenue,4WX13,Ind Sector Client Loan Fund,"12,640.24",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON HALL N H,6367691,Revenue,1MG10,Ind Nursing Care Elderly,474.98,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON HALL N H,6367691,Revenue,1MG20,Ind Res Care Elderly,"-3,361.95",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON HALL N H,6367692,Revenue,1MG10,Ind Nursing Care Elderly,"-17,487.80",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON HALL N H,6367692,Revenue,1MG20,Ind Res Care Elderly,"2,497.49",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON HALL N H,6367691,Revenue,1MG10,Ind Nursing Care Elderly,"-1,895.80",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON HALL N H,6367691,Revenue,1MG20,Ind Res Care Elderly,"7,098.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON HALL N H,6367692,Revenue,1MG10,Ind Nursing Care Elderly,"89,783.56",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON HALL N H,6367692,Revenue,1MG20,Ind Res Care Elderly,"-1,541.81",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON HALL N H,6367692,Revenue,1MK10,Ind Nursing Care LD,"2,263.56",
HRA,HRA Invest/Del             ,Supplies & Services,19/09/2014,KENTON KARPETS,6365769,Revenue,1HRA9,HRA - Demolition Revenue Exp,450.00,
HRA,HRA Housing Options Centre     ,Supplies & Services,25/09/2014,KENTON KARPETS,6370283,Revenue,1HEHS,Housing Support,700.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON MANOR NURSING HOME,6367638,Revenue,1MG10,Ind Nursing Care Elderly,-436.54,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON MANOR NURSING HOME,6367639,Revenue,1MG10,Ind Nursing Care Elderly,"-3,853.20",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON MANOR NURSING HOME,6367639,Revenue,1MG20,Ind Res Care Elderly,"-5,992.76",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,KENTON MANOR NURSING HOME,6367639,Revenue,1MK20,Ind Res Care LD,-313.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON MANOR NURSING HOME,6367638,Revenue,1MG10,Ind Nursing Care Elderly,978.51,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON MANOR NURSING HOME,6367639,Revenue,1MG10,Ind Nursing Care Elderly,"108,189.34",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON MANOR NURSING HOME,6367639,Revenue,1MG20,Ind Res Care Elderly,"23,942.88",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KENTON MANOR NURSING HOME,6367639,Revenue,1MK20,Ind Res Care LD,"1,820.00",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,18/09/2014,KEY ENTERPRISES (1983) LTD,6357335,Revenue,1MK60,Ind Day Care LD,"2,110.56",
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,24/09/2014,KEY NOTE LTD,6368675,Revenue,1EJ13,Stock Services,"8,250.00",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,04/09/2014,KEYRING LIVING SUPPORT NETWORK,6351169,Revenue,1MX51,SP Block Subsidy,"5,036.08",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2014,KEYRING LIVING SUPPORT NETWORKS,6370252,Revenue,1MM60,Ind Day Care MH,"3,487.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KIBBLEWSWORTH SPECIALKIST SUPPORT CENTRE,6367676,Revenue,1MG10,Ind Nursing Care Elderly,"11,592.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,KIBBLEWSWORTH SPECIALKIST SUPPORT CENTRE,6367676,Revenue,1MM20,Ind Res Care MH,"5,240.12",
HRA,HRA Furniture              ,Capital Expenditure,26/09/2014,KID RAPT LTD,6371269,Capital,2HE01,Capital Citywide,490.00,
Children's Services,Int Childhood Services     ,Supplies & Services,05/09/2014,KIDS 1ST-GOSFORTH,6352297,Revenue,1E20C,Sen Early Years Funding Panel,"1,140.00",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,01/09/2014,KIDS KABIN,6346564,Revenue,1ML07,PH -Obesity and phys activity,"1,613.92",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,29/09/2014,KIDS KABIN,6371968,Revenue,1ML07,PH -Obesity and phys activity,"1,613.92",
Children's Services,Schools Payment Agency                 ,Supplies & Services,19/09/2014,KIDS KABIN,6365230,Revenue,1E+254,Linhope PRU,520.90,
Children's Services,Walker Secon/High School               ,Supplies & Services,17/09/2014,KIDS KABIN,6363488,Revenue,1E+137,Walker Comprehensive,609.23,
Children's Services,Walker Secon/High School               ,Supplies & Services,17/09/2014,KIDS KABIN,6363494,Revenue,1E+137,Walker Comprehensive,"6,629.40",
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,16/09/2014,KIDZ R FIT,6360404,Revenue,1EEK6,Denton Westerhope Chldrn Cent,"1,316.00",
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,30/09/2014,KIDZ R FIT,6360502,Revenue,1EEH1,NBH CC Central Costs,"1,222.00",
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,30/09/2014,KIDZ R FIT,6372071,Revenue,1EEJ7,Newburn Childrens Centre,846.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,KINGSBURY HOUSE,6355038,Revenue,1MG20,Ind Res Care Elderly,-552.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KINGSBURY HOUSE,6355038,Revenue,1MG20,Ind Res Care Elderly,"1,794.56",
Children's Services,Educ School Planning    ,Supplies & Services,01/09/2014,KINGSTON PARK PLAYGROUP,6346674,Revenue,1EEP5,2Yr Old Learning & Childcare,"1,400.43",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,KIRKWOOD COURT,6355063,Revenue,1MG20,Ind Res Care Elderly,"-19,099.85",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,KIRKWOOD COURT,6355063,Revenue,1MK20,Ind Res Care LD,-877.40,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KIRKWOOD COURT,6355063,Revenue,1MG20,Ind Res Care Elderly,"68,016.43",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,KIRKWOOD COURT,6355063,Revenue,1MK20,Ind Res Care LD,"3,392.00",
Children's Services,Schools Payment Agency                 ,Supplies & Services,16/09/2014,KJS TRAVEL LTD,6361866,Revenue,1E+61,Walkergate Primary School,500.00,
Children's Services,Hawthorn Primary School                ,Supplies & Services,09/09/2014,KJS TRAVEL LTD,6354404,Revenue,1E+45,Hawthorn Primary,260.00,
Children's Services,Hawthorn Primary School                ,Supplies & Services,09/09/2014,KJS TRAVEL LTD,6354406,Revenue,1E+45,Hawthorn Primary,260.00,
Children's Services,Byker Community Primary School         ,Transport,10/09/2014,KJS TRAVEL LTD,6355741,Revenue,1E+38,Byker Primary,520.00,
HRA,HRA Planning QS            ,Capital Expenditure,25/09/2014,KNW LTD,6370259,Capital,2HE01,Capital Citywide,553.29,
HRA,HRA Planning QS            ,Capital Expenditure,26/09/2014,KNW LTD,6352618,Capital,2HE01,Capital Citywide,"1,497.99",
Adult and Culture,Library Admin              ,Supplies & Services,17/09/2014,KOMODO DESIGN LTD,6363210,Revenue,1EJ9F,BIPC -Libraries European Proj,"2,000.00",
Adult and Culture,Library Admin              ,Supplies & Services,19/09/2014,KOMODO DESIGN LTD,6365225,Revenue,1EJ9F,BIPC -Libraries European Proj,"2,000.00",
Adult and Culture,Library Admin              ,Supplies & Services,24/09/2014,KOMODO DESIGN LTD,6369195,Revenue,1EJ9F,BIPC -Libraries European Proj,"2,000.00",
Children's Services,Schools Payment Agency                 ,Premises,05/09/2014,KONE PLC,6352500,Revenue,1E+164,Trinity,510.76,
Children's Services,Schools Payment Agency                 ,Premises,11/09/2014,KONE PLC,6358369,Revenue,1E+40,Chillingham Road Primary,990.00,
Environment & Regeneration,NS: Asset Man              ,Premises,18/09/2014,KONE PLC,6360997,Revenue,1FRAW,Premises Contracts,"6,395.49",
HRA,HRA Property Maint         ,Premises,10/09/2014,KONE PLC,6357610,Revenue,1HRM1,Comm Areas - R&M Contracts,"11,952.61",
HRA,HRA Property Maint         ,Premises,11/09/2014,KONE PLC,6350225,Revenue,1HRM1,Comm Areas - R&M Contracts,"7,142.50",
HRA,HRA Property Maint         ,Premises,16/09/2014,KONE PLC,6351448,Revenue,1HRM1,Comm Areas - R&M Contracts,995.00,
HRA,HRA Property Maint         ,Premises,16/09/2014,KONE PLC,6351622,Revenue,1HRM1,Comm Areas - R&M Contracts,"3,647.00",
HRA,HRA Property Maint         ,Premises,18/09/2014,KONE PLC,6357628,Revenue,1HRM1,Comm Areas - R&M Contracts,"11,991.89",
HRA,HRA Property Maint         ,Premises,23/09/2014,KONE PLC,6367940,Revenue,1HRM1,Comm Areas - R&M Contracts,"10,428.60",
HRA,HRA Property Maint         ,Premises,23/09/2014,KONE PLC,6367946,Revenue,1HRM1,Comm Areas - R&M Contracts,596.26,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,KONICA MINOLTA BUSINESS SOLUTIONS UK LTD,6352567,Revenue,1E+85,St. John Vianney R.C. Primary,405.66,
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/09/2014,KONICA MINOLTA BUSINESS SOLUTIONS UK LTD,6366351,Revenue,1E+85,St. John Vianney R.C. Primary,555.68,
Children's Services,Walkergate Primary School              ,Supplies & Services,09/09/2014,KONICA MINOLTA BUSINESS SOLUTIONS UK LTD,6355471,Revenue,1E+61,Walkergate Primary School,902.67,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,09/09/2014,KUBELAW LTD T/A KUBELAW SOLICITORS,6343560,Revenue,1EA65,Apprenticeship Plus,312.50,
Children's Services,St Pauls C of E Primary School         ,Premises,05/09/2014,L N FLOORING,6352725,Revenue,1E+135,Heaton Manor Comprehensive,735.00,
Adult and Culture,Adult Serv Admin Support   ,Transport,01/09/2014,LA TAXIS,6346290,Revenue,1MK60,Ind Day Care LD,470.00,
Adult and Culture,Adult Serv Admin Support   ,Transport,09/09/2014,LA TAXIS,6354457,Revenue,1MK60,Ind Day Care LD,410.00,
Adult and Culture,Adult Serv Finance         ,Transfer Payments,19/09/2014,LA TAXIS,6360493,Revenue,1E+212,Transport Special,"3,054.00",
Adult and Culture,Adult Serv Learn Disab     ,Transport,17/09/2014,LA TAXIS,6363640,Revenue,1MK60,Ind Day Care LD,370.00,
Adult and Culture,Adult Serv Learn Disab     ,Transport,25/09/2014,LA TAXIS,6369990,Revenue,1MK60,Ind Day Care LD,593.00,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2014,LAFARGE AGGREGATES LTD,6337774,Revenue,3KIMF,Highways Stock Account,"2,719.88",
Environment & Regeneration,Highways                               ,Supplies & Services,19/09/2014,LAFARGE AGGREGATES LTD,6359767,Revenue,3KIMF,Highways Stock Account,"2,714.06",
Chief Executive's,CD - Finance & Resources NOR           ,Supplies & Services,30/09/2014,LAMBERT SMITH HAMPTON,6372534,Revenue,1DQ99,S&M Management,"6,000.00",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,LAMBTON HOUSE,6367637,Revenue,1MG20,Ind Res Care Elderly,-531.72,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,LAMBTON HOUSE,6367637,Revenue,1MG20,Ind Res Care Elderly,"1,925.76",
Children's Services,Regent Farm First School               ,Supplies & Services,17/09/2014,LANCASHIRE COUNTY COUNCIL,6355489,Revenue,1E+23,Regent Farm First,304.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,LANCHESTER COURT CARE HOME,6367624,Revenue,1MH10,Ind Nursing Care PD,-350.04,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,LANCHESTER COURT CARE HOME,6367624,Revenue,1MH10,Ind Nursing Care PD,"5,880.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,LANCHESTER COURT CARE HOME,6367624,Revenue,1MH20,Ind Res Care PD,"4,400.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,LANCHESTER COURT CARE HOME,6367624,Revenue,1MK10,Ind Nursing Care LD,"5,400.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,LANCHESTER COURT CARE HOME,6367624,Revenue,1MK20,Ind Res Care LD,"4,600.00",
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,05/09/2014,LANCHESTER DAIRIES,6352243,Revenue,1KFBL,Byker Lodge,300.08,
Environment & Regeneration,EEC U/Design               ,Premises,17/09/2014,LANDFORM SURVEYS LTD,6359188,Revenue,1V079,Heritage Projects,870.00,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,23/09/2014,LAWSONS TIMBER LTD,6363272,Revenue,1KKX1,Civic Centre Direct Costs,265.18,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,17/09/2014,LAYER 7 LTD,6349787,Revenue,1CM00,IT Management & Admin,"1,300.00",
Environment & Regeneration,NS: Asset Man              ,Premises,05/09/2014,LDF FLOORING CONTRACTS LTD,6351932,Revenue,1KE27,Bereavement Services Overhead,663.00,
Children's Services,Heaton Manor High School               ,Employees,23/09/2014,LEADING LEARNING (EDUCATION),6367800,Revenue,1E+135,Heaton Manor Comprehensive,315.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,LEAGREEN COURT RESIDENTS,6367553,Revenue,1MG10,Ind Nursing Care Elderly,"-2,635.52",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,LEAGREEN COURT RESIDENTS,6367553,Revenue,1MG20,Ind Res Care Elderly,"-3,749.27",
